batch_path,label,case_id,final_iteration,convergence_iteration,converged,final_overshoot,final_steady_state_error,demonstration_protocol,stop_reason,analysis_horizon,failed_next_llm_call,max_iterations
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_039_example_K_0.31_T_324,1,,False,16.28099999999999,0.009119999999995798,perturbed_imc_delay_stratified_v1,max_iterations,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_040_example_K_0.76_T_553,1,,False,17.74199999999999,0.0,perturbed_imc_delay_stratified_v1,max_iterations,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_041_example_K_0.22_T_416,1,,False,0.0,1.1344800000000155,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_042_example_K_0.81_T_583,1,1.0,True,3.0159999999999965,0.002999999999997449,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_043_example_K_0.68_T_442,1,,False,28.894,0.006510000000026217,perturbed_imc_delay_stratified_v1,max_iterations,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_044_example_K_0.77_T_377,1,1.0,True,0.7830000000000004,0.0003200000000092018,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_045_example_K_0.38_T_440,1,,False,51.78499999999999,0.0974699999999995,perturbed_imc_delay_stratified_v1,max_iterations,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_046_example_K_0.51_T_269,1,1.0,True,0.0,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_047_example_K_0.48_T_258,1,1.0,True,0.0,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_048_example_K_0.86_T_241,1,1.0,True,8.085000000000008,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_049_example_K_0.44_T_506,1,,False,18.511999999999993,0.014329999999984633,perturbed_imc_delay_stratified_v1,max_iterations,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_050_example_K_0.73_T_175,1,1.0,True,11.956999999999995,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_051_example_K_0.45_T_500,1,,False,0.0,1.4683599999999908,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_052_example_K_0.72_T_111,1,1.0,True,0.0,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_053_example_K_0.22_T_586,1,1.0,True,3.8880000000000026,0.009300000000000974,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_054_example_K_0.89_T_356,1,1.0,True,2.26900000000001,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_055_example_K_0.84_T_336,1,1.0,True,0.0,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_056_example_K_0.57_T_219,1,1.0,True,0.0,0.07292000000002075,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_057_example_K_0.50_T_204,1,1.0,True,0.0,0.005130000000008739,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_058_example_K_0.21_T_316,1,1.0,True,1.256999999999997,0.0023600000000123522,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_059_example_K_0.49_T_281,1,,False,31.837000000000003,0.0,perturbed_imc_delay_stratified_v1,max_iterations,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_060_example_K_0.21_T_112,1,1.0,True,13.87799999999999,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_061_example_K_0.73_T_163,1,1.0,True,0.0,0.12847000000002495,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
